Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-01,12318,734,182,75.20%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-02,15830,901,246,72.70%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-03,15140,972,283,70.88%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-04,15074,986,305,69.07%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-05,17102,950,266,72.00%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-06,14939,853,233,72.68%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-07,12394,875,219,74.97%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-08,13419,962,272,71.73%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-09,16496,1302,370,71.58%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-10,22449,1976,690,65.08%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-11,18726,716,386,46.09%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-12,17709,1625,356,78.09%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-13,16093,1037,295,71.55%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-14,22454,1036,248,76.06%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-15,16295,1220,327,73.20%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-16,21059,1448,409,71.75%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-17,22056,1833,471,74.30%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-18,21956,1952,506,74.08%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-19,19504,1577,430,72.73%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-20,19870,1511,416,72.47%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-21,17297,1510,418,72.32%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-22,18370,1591,452,71.59%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-23,24033,2078,603,70.98%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-24,43021,2199,668,69.62%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-25,20998,1747,475,72.81%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-26,19518,1566,445,71.58%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-27,21188,1949,616,68.39%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-28,17318,1544,427,72.34%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-29,17847,1477,434,70.62%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-30,20013,1424,455,68.05%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-01-31,18952,1361,422,68.99%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-01,23050,1588,518,67.38%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-02,19428,1514,464,69.35%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-03,17097,1349,418,69.01%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-04,18862,1598,384,75.97%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-05,20473,2236,465,79.20%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-06,18999,1541,411,73.33%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-07,19497,1762,502,71.51%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-08,24039,2536,859,66.13%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-09,20128,1806,558,69.10%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-10,17599,1520,509,66.51%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-11,16078,1448,409,71.75%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-12,17780,1509,426,71.77%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-13,20546,1533,485,68.36%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-14,18674,1496,437,70.79%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-15,19314,2087,519,75.13%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-16,17531,1784,503,71.80%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-17,19076,1712,477,72.14%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-18,18285,1724,443,74.30%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-19,19332,1858,485,73.90%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-20,21748,1768,537,69.63%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-21,25768,2013,584,70.99%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-22,23748,2000,625,68.75%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-23,22275,1888,551,70.82%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-24,22600,1850,582,68.54%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-25,18739,1692,451,73.35%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-26,25045,2274,753,66.89%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-27,26722,2920,1158,60.34%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-02-28,29430,2666,969,63.65%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-03-01,26239,2042,666,67.38%
Date,Total Sessions,Adds to Cart,Non-Subscription Orders,Abandoned Cart Rate
2023-03-02,22456,1817,556,69.40%
