Date, Current Date, Active Customers, Inactive Customers
2021-05, 2023-07-24 13:28:15.305251, 109, 363 
2021-06, 2023-07-24 13:28:15.305251, 1402, 590 
2021-07, 2023-07-24 13:28:15.305251, 126, 1569 
2021-08, 2023-07-24 13:28:15.305251, 140, 1195 
2021-09, 2023-07-24 13:28:15.305251, 143, 1142 
2021-10, 2023-07-24 13:28:15.305251, 126, 774 
2021-11, 2023-07-24 13:28:15.305251, 193, 1009 
2021-12, 2023-07-24 13:28:15.305251, 168, 830 
2022-01, 2023-07-24 13:28:15.305251, 411, 1518 
2022-02, 2023-07-24 13:28:15.305251, 365, 1405 
2022-03, 2023-07-24 13:28:15.305251, 552, 1912 
2022-04, 2023-07-24 13:28:15.305251, 978, 2595 
2022-05, 2023-07-24 13:28:15.305251, 702, 1930 
2022-06, 2023-07-24 13:28:15.305251, 711, 1740 
2022-07, 2023-07-24 13:28:15.305251, 650, 1620 
2022-08, 2023-07-24 13:28:15.305251, 788, 2192 
2022-09, 2023-07-24 13:28:15.305251, 963, 2137 
2022-10, 2023-07-24 13:28:15.305251, 903, 2082 
2022-11, 2023-07-24 13:28:15.305251, 1533, 3170 
2022-12, 2023-07-24 13:28:15.305251, 1115, 2332 
2023-01, 2023-07-24 13:28:15.305251, 1593, 2839 
2023-02, 2023-07-24 13:28:15.305251, 1940, 3327 
2023-03, 2023-07-24 13:28:15.305251, 2569, 3705 
2023-04, 2023-07-24 13:28:15.305251, 2698, 3520 
2023-05, 2023-07-24 13:28:15.305251, 3118, 2663 
2023-06, 2023-07-24 13:28:15.305251, 3170, 1085 
2023-07, 2023-07-24 13:28:15.305251, 3229, 456 
