Date,Non-Subscription Orders,Total Sessions
2023-01-01,169,12318
2023-01-02,243,15830
2023-01-03,283,15140
2023-01-04,299,15074
2023-01-05,268,17102
2023-01-06,230,14939
2023-01-07,224,12394
2023-01-08,268,13419
2023-01-09,370,16496
2023-01-10,691,22449
2023-01-11,384,18726
2023-01-12,356,17709
2023-01-13,296,16093
2023-01-14,245,22454
2023-01-15,331,16295
2023-01-16,410,21059
2023-01-17,468,22056
2023-01-18,506,21956
2023-01-19,433,19504
2023-01-20,413,19870
2023-01-21,425,17297
2023-01-22,443,18370
2023-01-23,607,24033
2023-01-24,666,43021
2023-01-25,473,20998
2023-01-26,444,19518
2023-01-27,621,21188
2023-01-28,425,17318
2023-01-29,432,17847
2023-01-30,451,20013
2023-01-31,438,18952
2023-02-01,503,23050
2023-02-02,466,19428
2023-02-03,416,17097
2023-02-04,388,18862
2023-02-05,464,20473
2023-02-06,404,18999
2023-02-07,505,19497
2023-02-08,855,24039
2023-02-09,565,20128
2023-02-10,499,17599
2023-02-11,409,16078
2023-02-12,425,17780
2023-02-13,491,20546
2023-02-14,429,18674
2023-02-15,518,19314
2023-02-16,503,17531
2023-02-17,478,19076
2023-02-18,443,18285
2023-02-19,483,19332
2023-02-20,539,21748
2023-02-21,587,25768
2023-02-22,622,23748
2023-02-23,554,22275
2023-02-24,575,22600
2023-02-25,454,18739
2023-02-26,754,25045
2023-02-27,1166,26722
2023-02-28,979,29430
2023-03-01,655,26239
2023-03-02,546,22456
2023-03-03,508,22192
2023-03-04,409,18686
2023-03-05,403,17905
2023-03-06,515,21342
2023-03-07,1147,27920
2023-03-08,634,20585
2023-03-09,563,17830
2023-03-10,541,19510
2023-03-11,404,15825
2023-03-12,471,16993
2023-03-13,586,22375
2023-03-14,626,25904
2023-03-15,514,18945
2023-03-16,559,19647
2023-03-17,530,19019
2023-03-18,505,17097
2023-03-19,660,22980
2023-03-20,629,22752
2023-03-21,593,21195
2023-03-22,576,21354
2023-03-23,625,23121
2023-03-24,592,21577
2023-03-25,464,19515
2023-03-26,588,21372
2023-03-27,1028,29554
2023-03-28,1020,26640
2023-03-29,837,25948
2023-03-30,637,22228
2023-03-31,545,20058
2023-04-01,653,20899
2023-04-02,594,21340
2023-04-03,790,27288
2023-04-04,602,21519
2023-04-05,811,24635
2023-04-06,776,23558
2023-04-07,880,24011
2023-04-08,555,18248
2023-04-09,502,17993
2023-04-10,894,26298
2023-04-11,785,24126
2023-04-12,707,24384
2023-04-13,679,23062
2023-04-14,639,21784
2023-04-15,642,21483
2023-04-16,726,21314
2023-04-17,852,25275
2023-04-18,809,23813
2023-04-19,706,24350
2023-04-20,642,23210
2023-04-21,542,20098
2023-04-22,555,18339
2023-04-23,463,15311
2023-04-24,650,23279
2023-04-25,560,20592
2023-04-26,634,22356
2023-04-27,555,19830
2023-04-28,644,20627
2023-04-29,539,17402
2023-04-30,696,20541
2023-05-01,606,26846
2023-05-02,587,22899
2023-05-03,638,23928
2023-05-04,555,20740
2023-05-05,510,20336
2023-05-06,380,17360
2023-05-07,553,20170
2023-05-08,620,25656
2023-05-09,568,21557
2023-05-10,548,22824
2023-05-11,581,21733
2023-05-12,578,23684
2023-05-13,487,17420
2023-05-14,497,18257
2023-05-15,812,27116
2023-05-16,673,26356
2023-05-17,625,26739
2023-05-18,528,15229
2023-05-19,743,21689
2023-05-20,417,17965
2023-05-21,427,18347
2023-05-22,533,28827
2023-05-23,679,25011
2023-05-24,671,23655
2023-05-25,633,21916
2023-05-26,714,23244
2023-05-27,528,18074
2023-05-28,512,19371
2023-05-29,1454,27764
2023-05-30,567,21987
2023-05-31,449,24116
2023-06-01,465,23799
2023-06-02,392,21147
2023-06-03,346,19143
2023-06-04,418,20823
2023-06-05,495,25748
2023-06-06,469,22429
2023-06-07,548,25247
2023-06-08,472,23333
2023-06-09,525,22858
2023-06-10,414,18922
2023-06-11,447,19841
2023-06-12,519,23496
2023-06-13,476,21428
2023-06-14,527,25323
2023-06-15,481,20332
2023-06-16,461,21886
2023-06-17,345,16915
2023-06-18,321,19691
2023-06-19,443,24294
2023-06-20,462,22836
2023-06-21,481,26166
2023-06-22,530,26417
2023-06-23,858,31626
2023-06-24,533,31904
2023-06-25,499,31260
2023-06-26,769,34611
2023-06-27,801,37635
2023-06-28,531,34514
2023-06-29,607,31897
2023-06-30,657,35279
2023-07-01,513,47887
2023-07-02,407,37003
2023-07-03,633,44922
2023-07-04,687,44707
2023-07-05,698,39095
2023-07-06,426,33539
2023-07-07,456,52003
2023-07-08,517,35062
2023-07-09,484,35464
2023-07-10,1125,45484
