product_id,product_title,total_customers,customers_3_times,customers_4_times,customers_5_times,customers_6_times,repurchase_rate,avg_duration
0,,57585,2791,1239,610,350,8.67%,52
652137758743,The Omega,2235,48,28,10,4,4.03%,72
3958886596631,Vitamin B12 + B6,6835,147,57,24,11,3.50%,70
4349603217455,Mineral Shilajit,8163,126,31,24,8,2.32%,73
4373500035119,Golden Mind,4445,83,29,10,11,2.99%,56
4443660550191,Coated Silver,979,22,8,1,3,3.47%,69
4459880382511,Vitamin D3 + K2 + CoQ10,4620,110,41,29,13,4.18%,69
4596150632495,Liposomal Vitamin C,7723,292,115,51,23,6.23%,63
4641195425839,Activated Charcoal,3306,53,19,3,1,2.30%,74
4696220368943,Liposomal Glutathione,7613,218,89,32,17,4.68%,64
4731868741679,Cymbiotika Shower Filter,1283,9,0,0,0,0.70%,135
4758525968431,Longevity Mushrooms,1547,33,18,2,3,3.62%,61
4798467014703,Magnesium L-Threonate,19942,551,229,93,41,4.58%,60
4817956143151,Liposomal Elderberry,2051,69,19,12,7,5.22%,62
4837712986159,Super Greens,3546,100,32,19,6,4.43%,65
4870691127343,Adrenal Super Tonic,4548,46,11,9,2,1.50%,64
4883122978863,Heart Health,1320,28,7,4,1,3.03%,63
6743078404143,NMN + Trans-Resveratrol,3240,94,29,15,10,4.57%,61
6746192445487,Ultimate Pain Balm,1334,10,5,2,0,1.27%,69
6746353926191,Allergy Defense,1192,24,3,1,0,2.35%,70
6761075081263,ZINC Complex,1512,40,13,15,1,4.56%,67
6765615415343,Topical Magnesium Oil Spray,5938,62,17,1,2,1.38%,77
6767607152687,Apple Cider Vinegar,935,18,6,0,0,2.57%,69
6767610953775,Probiotic,1899,49,19,7,5,4.21%,70
6906130235439,Digital Gift Card,174,3,0,0,1,2.30%,23
6920897101871,Plant Protein,1440,54,11,7,4,5.28%,79
7043732865071,Molecular Hydrogen,3392,67,24,13,3,3.15%,64
7069629448239,Pure Hydration,2402,39,20,8,3,2.91%,69
7160155373615,Sleep,5880,109,28,12,2,2.57%,53
7167834161199,Creatine+,3010,66,25,7,4,3.39%,54
7228850864175,Metabolic Health,2720,25,10,3,1,1.43%,48
7235430744111,Inflammatory Health,2487,42,11,4,0,2.29%,43
7244082610223,ParaX™,2404,7,1,0,0,0.33%,77
7253493612591,Organic Matcha,2113,21,5,0,0,1.23%,44
