product_id,product_title,total_customers,customers_3_times,customers_4_times,customers_5_times,customers_6_times,repurchase_rate,avg_duration
0,,67913,10440,6815,4781,3720,37.92%,33
652137758743,The Omega,10636,1523,910,555,418,32.02%,43
3958886596631,Vitamin B12 + B6,20153,3101,1880,1294,819,35.20%,42
4349603217455,Mineral Shilajit,16830,2155,1048,627,369,24.95%,43
4373500035119,Golden Mind,12857,1914,1018,594,424,30.72%,40
4443660550191,Coated Silver,2665,255,125,69,38,18.27%,45
4459880382511,Vitamin D3 + K2 + CoQ10,15904,2420,1492,1020,685,35.32%,42
4596150632495,Liposomal Vitamin C,19347,3034,1844,1293,814,36.10%,40
4641195425839,Activated Charcoal,8757,1062,509,223,162,22.34%,44
4696220368943,Liposomal Glutathione,20568,3027,1796,1207,780,33.11%,40
4731868741679,Cymbiotika Shower Filter,375,2,0,0,0,0.53%,79
4758525968431,Longevity Mushrooms,6493,879,473,292,148,27.60%,42
4798467014703,Magnesium L-Threonate,36179,6168,3629,2405,1570,38.07%,39
4817956143151,Liposomal Elderberry,4968,652,387,219,131,27.96%,42
4837712986159,Super Greens,10501,1456,849,459,293,29.11%,42
4870691127343,Adrenal Super Tonic,11919,1578,736,416,243,24.94%,41
4883122978863,Heart Health,4599,629,320,167,141,27.33%,41
6743078404143,NMN + Trans-Resveratrol,8660,1269,825,530,342,34.25%,39
6746192445487,Ultimate Pain Balm,2297,200,60,26,12,12.97%,45
6746353926191,Allergy Defense,3012,384,199,113,61,25.13%,40
6761075081263,ZINC Complex,7489,810,451,270,201,23.13%,43
6765615415343,Topical Magnesium Oil Spray,8158,1004,456,198,111,21.68%,45
6767607152687,Apple Cider Vinegar,3253,410,176,114,64,23.49%,40
6767610953775,Probiotic,6201,870,489,303,218,30.32%,42
6920897101871,Plant Protein,4136,543,286,168,113,26.84%,46
7043732865071,Molecular Hydrogen,11164,1480,772,452,289,26.81%,41
7069629448239,Pure Hydration,6644,805,389,213,168,23.71%,42
7160155373615,Sleep,8653,1112,606,318,167,25.46%,39
7167834161199,Creatine+,7365,993,465,260,163,25.54%,38
7228850864175,Metabolic Health,6880,945,419,229,112,24.78%,37
7235430744111,Inflammatory Health,6565,1000,468,276,150,28.85%,36
7244082610223,ParaX™,4265,186,61,41,14,7.08%,47
7253493612591,Organic Matcha,4210,461,190,76,17,17.67%,35
7267847929903,Mother's Day Box,721,2,0,0,0,0.28%,12
